user_id	content_id	action	timestamp	device	region	session_id
197	1000	forward	03/09/2023 19:34	mobile	US	s4468
165	1007	forward	03/09/2023 12:00	tablet	APAC	s4626
102	1008	skip	03/09/2023 9:59	tablet	APAC	s6469
120	1006	skip	03/09/2023 16:46	desktop	APAC	s9835
111	1001	play	03/09/2023 18:20	tablet	US	s6067
187	1007	play	03/09/2023 12:15	tablet	APAC	s8291
116	1004	pause	03/09/2023 4:34	mobile	APAC	s2682
134	1003	play	03/09/2023 22:54	mobile	EU	s7435
160	1007	skip	03/09/2023 11:53	mobile	APAC	s7952
196	1000	skip	03/09/2023 11:46	desktop	APAC	s8680
101	1000	play	03/09/2023 20:11	tablet	EU	s2047
165	1006	forward	03/09/2023 23:47	mobile	APAC	s4981
170	1007	play	03/09/2023 1:18	mobile	APAC	s4183
182	1007	play	03/09/2023 5:26	desktop	APAC	s6691
106	1002	forward	03/09/2023 2:36	mobile	EU	s7835
184	1008	pause	03/09/2023 16:01	desktop	APAC	s6385
130	1003	play	03/09/2023 22:55	tablet	EU	s6283
184	1008	forward	03/09/2023 21:41	mobile	APAC	s4951
164	1000	skip	03/09/2023 15:48	mobile	US	s9741
152	1004	skip	03/09/2023 7:42	tablet	EU	s5313
146	1003	forward	03/09/2023 21:14	tablet	EU	s1586
124	1004	forward	03/09/2023 13:48	tablet	US	s1279
157	1002	forward	03/09/2023 17:07	mobile	US	s2795
102	1003	pause	03/09/2023 16:52	tablet	US	s1981
128	1001	pause	03/09/2023 9:10	tablet	EU	s4797
154	1007	pause	03/09/2023 0:52	mobile	US	s3800
117	1000	skip	03/09/2023 5:45	desktop	APAC	s6050
167	1000	pause	03/09/2023 5:44	tablet	EU	s1010
196	1000	pause	03/09/2023 6:36	desktop	EU	s1773
