user_id	content_id	action	timestamp	device	region	session_id
132	1003	forward	06/09/2023 14:06	desktop	EU	s1568
175	1000	skip	06/09/2023 9:59	tablet	APAC	s9128
148	1004	forward	06/09/2023 19:55	desktop	US	s6815
149	1002	forward	06/09/2023 18:19	mobile	EU	s7388
152	1007	pause	06/09/2023 2:06	mobile	APAC	s4951
102	1003	play	06/09/2023 3:00	tablet	US	s3830
146	1008	play	06/09/2023 9:26	mobile	APAC	s4613
176	1008	pause	06/09/2023 8:57	mobile	APAC	s2191
177	1001	play	06/09/2023 2:04	tablet	EU	s7112
162	1002	play	06/09/2023 23:34	tablet	APAC	s5279
173	1010	skip	06/09/2023 12:29	mobile	APAC	s8804
113	1009	play	06/09/2023 1:31	desktop	US	s3640
140	1001	play	06/09/2023 15:06	desktop	APAC	s8831
134	1000	forward	06/09/2023 3:14	tablet	EU	s7383
135	1003	pause	06/09/2023 22:46	tablet	EU	s3044
198	1007	play	06/09/2023 18:17	tablet	US	s3903
139	1002	play	06/09/2023 15:59	desktop	APAC	s3793
188	1007	play	06/09/2023 15:19	desktop	US	s1762
108	1004	pause	06/09/2023 3:40	desktop	US	s4532
179	1005	pause	06/09/2023 23:37	tablet	US	s8916
177	1004	skip	06/09/2023 7:50	tablet	EU	s4171
151	1005	pause	06/09/2023 7:32	tablet	APAC	s8534
168	1010	pause	06/09/2023 2:05	desktop	US	s4313
102	1005	pause	06/09/2023 21:09	tablet	APAC	s3984
176	1005	skip	06/09/2023 12:02	desktop	EU	s4710
108	1008	forward	06/09/2023 1:20	desktop	EU	s8713
126	1008	skip	06/09/2023 3:02	tablet	US	s8443
