user_id	content_id	action	timestamp	device	region	session_id
115	1006	forward	07/09/2023 6:15	mobile	EU	s4392
184	1000	forward	07/09/2023 4:57	desktop	EU	s3231
148	1003	forward	07/09/2023 14:05	mobile	APAC	s3087
100	1003	skip	07/09/2023 16:55	tablet	EU	s8127
120	1000	skip	07/09/2023 13:58	tablet	APAC	s4306
164	1006	skip	07/09/2023 7:28	desktop	US	s1482
186	1009	pause	07/09/2023 17:35	mobile	APAC	s1093
189	1006	skip	07/09/2023 6:41	mobile	EU	s4861
134	1008	pause	07/09/2023 21:15	desktop	APAC	s6469
165	1007	forward	07/09/2023 7:54	desktop	APAC	s4558
114	1003	forward	07/09/2023 1:48	mobile	APAC	s1085
119	1003	play	07/09/2023 3:10	tablet	US	s6859
157	1001	play	07/09/2023 18:50	tablet	EU	s9891
111	1006	pause	07/09/2023 22:02	tablet	EU	s4164
193	1003	pause	07/09/2023 20:17	tablet	APAC	s7447
126	1008	skip	07/09/2023 22:44	tablet	US	s3896
133	1002	pause	07/09/2023 20:25	tablet	US	s1404
124	1003	skip	07/09/2023 19:39	desktop	US	s1854
132	1006	skip	07/09/2023 10:33	tablet	APAC	s2864
120	1009	play	07/09/2023 11:12	mobile	EU	s1840
136	1006	pause	07/09/2023 17:01	mobile	EU	s4929
137	1006	play	07/09/2023 20:01	tablet	APAC	s1499
177	1009	skip	07/09/2023 23:01	tablet	EU	s8920
136	1000	pause	07/09/2023 13:34	desktop	US	s1855
180	1010	skip	07/09/2023 15:45	tablet	APAC	s4460
161	1000	play	07/09/2023 19:57	mobile	EU	s1484
113	1008	skip	07/09/2023 16:21	mobile	US	s3004
138	1002	play	07/09/2023 11:55	mobile	APAC	s2988
128	1002	play	07/09/2023 3:07	mobile	APAC	s5834
123	1010	forward	07/09/2023 12:27	tablet	US	s7969
